pet_id,gender,breed,age,temperature,latitude,longitude,heartbeat,activity_level,ambient_temperature
1,0,3,7.1,38.38,53.32148,-6.24955,84.82,2,27.36
2,1,3,9.8,38.52,53.34984,-6.23906,61.45,0,18.19
3,1,3,11.6,38.32,53.33392,-6.22381,63.77,0,17.39
4,0,2,3.5,37.74,53.32624,-6.24634,141.25,1,13.33
5,0,0,1.9,38.92,53.33945,-6.22567,106.57,0,28.2
6,1,0,12.7,37.86,53.33658,-6.24596,137.62,2,19.8
7,0,2,9.7,38.11,53.33477,-6.22279,66.48,1,18.56
8,0,0,9.7,37.71,53.33296,-6.24508,107.87,3,29.7
9,0,3,4.7,37.9,53.34971,-6.25307,92.44,1,17.59
10,0,2,10.9,38.31,53.3211,-6.23035,121.83,0,16.73
11,1,0,12.1,38.05,53.34459,-6.25542,71.01,3,7.47
12,1,0,11.0,38.91,53.34133,-6.22299,104.32,1,22.0
13,0,1,9.0,37.67,53.32198,-6.23807,78.43,0,12.13
14,1,2,11.0,37.61,53.34128,-6.25307,115.4,1,8.42
15,0,0,5.5,38.85,53.33528,-6.24054,175.98,0,3.97
16,1,1,14.5,37.84,53.32711,-6.24999,180.09,2,12.31
17,1,3,3.8,38.01,53.33996,-6.22658,115.58,2,17.47
18,1,2,3.4,39.09,53.33685,-6.23931,108.08,0,15.58
19,1,1,14.4,38.09,53.34889,-6.23837,91.31,3,18.57
20,1,3,4.2,37.94,53.32486,-6.25363,72.07,0,13.43
21,0,1,7.5,39.69,53.34674,-6.2284,55.6,1,19.08
22,1,2,11.4,40.76,53.33979,-6.22205,84.62,1,30.83
23,1,2,14.2,38.68,53.32566,-6.24953,103.57,0,13.14
24,0,2,12.0,38.22,53.33335,-6.25859,89.65,2,25.15
25,1,2,13.1,38.17,53.34704,-6.24702,115.28,2,21.93
26,1,2,5.3,40.03,53.33661,-6.22228,108.31,2,26.53
27,1,0,3.5,38.82,53.32015,-6.23886,136.61,1,23.87
28,1,1,4.2,38.19,53.32534,-6.25148,84.48,0,16.38
29,0,0,7.9,38.64,53.34065,-6.22451,107.36,1,17.58
30,1,0,12.6,38.37,53.34997,-6.22862,90.4,1,21.71
31,0,2,4.2,38.05,53.32807,-6.24125,63.55,1,20.75
32,1,0,4.4,40.28,53.33519,-6.25943,119.5,1,18.61
33,0,3,13.6,38.14,53.32483,-6.24252,160.93,1,7.01
34,1,1,2.1,38.84,53.34179,-6.22229,70.85,1,13.81
35,0,3,4.7,38.21,53.32098,-6.25921,74.14,2,15.16
36,1,3,1.9,37.25,53.32707,-6.23131,159.89,3,11.58
37,1,1,10.3,38.05,53.33069,-6.2556,103.01,0,17.24
38,1,3,6.2,38.98,53.32176,-6.25166,79.16,3,18.5
39,0,0,12.1,36.63,53.33723,-6.24551,105.07,2,20.58
40,0,3,6.2,38.59,53.3261,-6.22592,84.9,1,15.11
41,1,0,8.4,38.38,53.33099,-6.24457,111.03,1,16.81
42,1,2,10.5,38.95,53.3212,-6.24618,112.99,3,19.15
43,0,2,1.1,38.59,53.32537,-6.23689,72.84,3,23.82
44,0,3,4.7,38.6,53.32708,-6.25443,186.58,0,17.99
45,1,0,7.4,37.97,53.33977,-6.24472,107.31,1,17.21
46,0,3,12.0,38.65,53.32822,-6.22907,129.86,2,18.29
47,0,0,11.9,38.9,53.34113,-6.25645,66.49,0,8.88
48,0,1,14.0,37.68,53.34035,-6.24821,89.81,0,17.22
49,1,1,0.6,38.8,53.32076,-6.22963,130.9,0,17.85
50,0,3,7.7,38.33,53.33518,-6.25718,98.23,0,18.41
51,0,1,6.2,38.0,53.32736,-6.23213,154.35,0,16.53
52,1,3,14.3,38.54,53.34628,-6.25673,62.85,2,13.62
53,0,1,8.5,37.73,53.33839,-6.25608,98.34,3,25.91
54,0,0,13.5,38.37,53.32326,-6.23095,80.24,2,13.55
55,1,1,10.9,38.54,53.33946,-6.23307,179.59,0,18.2
56,0,3,9.3,38.78,53.34503,-6.24018,56.88,3,9.31
57,1,2,12.6,37.91,53.3254,-6.23194,89.89,0,8.16
58,1,2,4.7,38.38,53.32679,-6.2449,125.03,1,19.25
59,1,2,8.6,38.19,53.34802,-6.25421,178.68,3,18.49
60,0,3,4.1,38.1,53.32999,-6.25825,60.38,0,22.61
61,1,0,5.9,37.6,53.34617,-6.24775,115.0,0,18.53
62,1,0,7.6,38.41,53.33564,-6.25985,66.23,0,24.4
63,0,1,7.2,36.28,53.33988,-6.23149,75.95,1,10.13
64,0,2,11.5,38.47,53.34314,-6.2326,98.57,1,21.82
65,1,2,12.5,38.68,53.34896,-6.23095,73.21,0,18.82
66,0,2,5.3,39.0,53.34335,-6.22967,132.2,0,24.17
67,0,1,9.8,38.76,53.3325,-6.24546,78.91,0,26.96
68,1,0,10.2,38.8,53.33748,-6.24405,64.07,2,21.94
69,1,0,1.5,38.12,53.32553,-6.24902,137.52,0,14.5
70,0,2,9.7,38.81,53.3442,-6.25376,113.23,1,11.46
71,0,3,9.5,38.37,53.33086,-6.25851,118.11,3,21.59
72,1,0,12.9,40.71,53.34435,-6.22307,44.16,0,10.64
73,1,3,9.9,38.57,53.3251,-6.22385,62.53,0,17.9
74,1,1,14.5,38.22,53.3257,-6.22716,77.0,3,18.29
75,1,3,13.3,37.22,53.32397,-6.22354,155.93,3,21.44
76,1,3,13.2,38.98,53.32578,-6.24937,106.62,3,9.06
77,0,1,2.6,37.71,53.33916,-6.25767,100.95,0,19.03
78,0,1,5.3,38.51,53.33763,-6.24383,116.4,0,27.64
79,0,1,2.4,38.78,53.3496,-6.22118,65.87,0,14.47
80,0,2,10.8,39.22,53.32368,-6.24846,129.48,1,23.93
81,1,1,2.6,39.63,53.32629,-6.22262,160.97,1,17.82
82,1,2,14.0,38.55,53.32801,-6.23137,138.97,1,20.51
83,1,0,3.0,39.73,53.33539,-6.2424,90.04,0,18.73
84,0,1,12.2,38.18,53.32011,-6.24014,113.37,1,21.3
85,1,3,8.7,37.61,53.34074,-6.24726,117.3,3,21.02
86,0,3,8.9,37.96,53.32928,-6.25859,66.79,0,21.76
87,0,2,9.1,39.32,53.32121,-6.25098,87.7,0,12.34
88,0,0,0.9,38.62,53.33999,-6.23194,79.52,2,29.34
89,1,0,14.6,40.21,53.32756,-6.23608,70.92,2,21.91
90,1,0,5.2,38.75,53.34718,-6.24249,97.36,0,20.58
91,0,3,1.2,38.03,53.34726,-6.24192,94.54,2,22.27
92,0,3,14.1,38.53,53.33918,-6.22801,110.6,0,23.8
93,0,2,13.2,38.0,53.34463,-6.24484,44.04,1,25.66
94,1,0,1.3,36.43,53.32908,-6.25576,74.51,0,10.4
95,0,1,1.6,38.88,53.34218,-6.2338,100.2,0,19.36
96,1,0,5.0,36.82,53.3215,-6.25384,121.01,2,18.97
97,0,3,4.3,38.33,53.32453,-6.22232,90.22,0,21.07
98,1,1,5.4,36.6,53.34819,-6.22434,92.94,0,21.04
99,1,0,11.5,37.93,53.32132,-6.22034,55.37,1,13.04
100,1,0,13.5,40.35,53.33624,-6.24449,100.21,1,14.28
101,1,0,11.6,39.91,53.3386,-6.23033,52.72,0,16.22
102,0,0,6.5,38.72,53.34813,-6.25973,60.65,2,13.63
103,0,2,10.8,39.13,53.3258,-6.22023,121.15,1,13.2
104,1,1,0.7,36.66,53.34757,-6.23033,81.51,2,22.4
105,0,0,8.6,39.18,53.33308,-6.22215,75.29,0,18.0
106,0,0,14.6,38.53,53.34874,-6.2405,89.11,0,28.97
107,0,0,11.0,38.61,53.34153,-6.22258,71.48,0,10.37
108,0,2,6.7,37.74,53.3321,-6.24742,135.61,1,28.7
109,1,2,11.2,37.85,53.3341,-6.24739,81.14,1,30.46
110,0,2,14.7,37.45,53.34024,-6.24767,70.13,0,18.22
111,1,3,1.3,38.57,53.34369,-6.24606,88.12,2,33.4
112,0,3,10.8,38.05,53.34082,-6.22883,105.62,0,22.31
113,0,1,3.3,37.67,53.34852,-6.25051,57.87,0,9.13
114,0,3,12.0,38.87,53.33016,-6.22748,97.26,2,12.2
115,1,2,8.0,39.99,53.33813,-6.2232,55.99,3,15.06
116,0,0,9.9,38.36,53.33054,-6.22954,44.34,0,18.79
117,0,3,9.7,38.27,53.34412,-6.24264,106.06,0,16.5
118,1,3,3.3,38.0,53.33948,-6.23064,70.21,3,12.82
119,1,0,1.5,38.44,53.33319,-6.24724,120.04,0,25.2
120,1,1,14.3,38.87,53.32208,-6.22666,84.14,2,19.64
121,1,2,0.6,37.93,53.34405,-6.23708,108.18,3,22.37
122,1,2,4.7,38.67,53.32029,-6.23957,155.97,0,20.22
123,1,3,7.2,38.03,53.34016,-6.25435,56.34,2,22.34
124,0,1,4.3,37.76,53.34917,-6.25337,77.81,2,24.11
125,1,2,2.9,37.92,53.3274,-6.22061,62.93,0,15.38
126,0,3,8.2,38.78,53.33531,-6.25872,73.39,0,16.97
127,1,3,7.0,38.57,53.34119,-6.2418,127.24,0,29.43
128,0,2,9.7,39.18,53.34072,-6.24882,60.23,0,25.26
129,0,0,9.3,38.88,53.34988,-6.24923,87.02,0,19.86
130,0,3,9.8,37.72,53.34215,-6.2457,113.05,2,17.93
131,0,2,10.0,38.51,53.33699,-6.22975,109.01,1,13.13
132,0,1,12.4,40.61,53.33042,-6.23676,107.41,0,26.29
133,0,1,6.6,39.65,53.3493,-6.22128,74.48,3,18.56
134,1,2,2.5,40.49,53.33009,-6.25137,115.37,0,20.74
135,1,3,4.6,38.33,53.33131,-6.22925,98.44,1,20.53
136,0,1,3.4,38.79,53.33637,-6.24285,115.39,1,16.75
137,0,0,12.5,38.5,53.32489,-6.25546,122.3,0,17.74
138,1,1,11.6,38.76,53.32257,-6.22542,120.22,0,18.05
139,1,1,7.5,38.3,53.34834,-6.23047,79.91,0,13.24
140,1,1,5.4,38.4,53.34132,-6.25928,68.1,0,18.77
141,0,1,10.5,38.86,53.32511,-6.24533,96.23,0,25.27
142,1,2,10.2,36.94,53.34304,-6.22847,76.05,2,29.58
143,1,3,8.9,38.67,53.33054,-6.24278,110.47,0,23.22
144,0,0,12.5,38.18,53.33982,-6.2538,43.69,0,11.77
145,1,3,8.5,38.32,53.32806,-6.23372,31.56,1,21.67
146,0,0,9.2,37.91,53.32935,-6.22851,63.86,0,26.94
147,1,2,6.9,38.81,53.33036,-6.22344,111.75,2,17.34
148,1,0,12.0,37.49,53.33069,-6.24801,92.2,2,6.15
149,1,2,3.6,38.91,53.32163,-6.25087,120.33,2,19.04
150,1,3,11.7,38.44,53.34844,-6.23149,63.92,1,26.65
151,1,1,10.3,38.02,53.32638,-6.25888,80.98,1,14.67
152,0,2,12.3,37.76,53.34168,-6.22577,94.68,2,21.43
153,0,3,8.8,38.19,53.34772,-6.25717,115.58,2,13.73
154,0,1,2.3,38.8,53.32342,-6.24078,94.97,3,17.66
155,1,2,7.7,38.49,53.33333,-6.24638,82.52,3,16.75
156,1,0,10.2,38.95,53.32109,-6.22603,123.95,1,18.38
157,0,1,3.9,37.83,53.32886,-6.25272,85.55,2,24.71
158,1,2,4.8,38.32,53.34069,-6.23573,92.19,2,24.03
159,0,0,7.8,38.24,53.34925,-6.22845,88.77,1,15.55
160,1,1,8.5,38.41,53.32457,-6.25667,87.91,1,17.99
161,1,1,12.9,39.14,53.32085,-6.22857,72.57,1,8.71
162,1,2,10.8,40.11,53.3242,-6.24333,79.04,0,19.4
163,0,3,3.9,37.98,53.3258,-6.2428,113.76,1,22.78
164,1,0,8.8,38.55,53.32947,-6.22306,68.58,1,15.7
165,0,0,2.8,37.99,53.34607,-6.24197,55.83,3,26.97
166,0,0,13.2,38.45,53.32543,-6.24711,79.77,0,21.02
